,SnapDate,Srce,Province,PublishedDate,PropertyType,PropertyState,Bdroom,Bath,Parking,PriceUF,MtTot,UFxMt2,ValueScore,Score,Link
count,92.0,92,92,92,92,92,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92
unique,,1,5,1,2,2,,,,,,,,,88
top,,icasas,Huechuraba,06/26/2020,House,usada,,,,,,,,,https://www.icasas.cl/propiedad/411796
freq,,92,25,92,50,89,,,,,,,,,2
mean,20200707.0,,,,,,3.597826086956522,2.4239130434782608,0.75,5985.271739130435,132.41304347826087,47.19565217391305,3362.0434782608695,566.0434782608696,
std,0.0,,,,,,0.6962976281765577,0.8285257084112283,0.7649606755675975,761.7624893505571,38.539305517307014,11.14464256096863,1059.2414859518085,172.89378769964927,
min,20200707.0,,,,,,3.0,1.0,0.0,4178.0,93.0,18.0,1980.0,296.0,
25%,20200707.0,,,,,,3.0,2.0,0.0,5664.5,106.5,40.75,2584.0,434.75,
50%,20200707.0,,,,,,3.0,2.0,1.0,6122.0,125.0,48.0,3105.0,535.0,
75%,20200707.0,,,,,,4.0,3.0,1.0,6517.5,140.0,55.25,3914.0,687.5,
max,20200707.0,,,,,,5.0,4.0,2.0,7000.0,333.0,69.0,7700.0,1146.0,
